"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"AcroPlot Suite","The AcroPlot software is only used by 2-3 users in R2 to convert CAD and scanned files to PDF format.  This is a continuous work to convert the region's files to PDF so that users can view these files.",Other,Approved,Desktop,2023-07-20
"Android Studio - Version Android Studio Bumblebee","FMS2GO is an Android native application for GSA Fleet organization. The current version of Google's Android Studio is not serving the purpose to upgrade the FMS2Go app and Android Studio from Google needs to be upgraded to the latest version for continued business support for GSA Fleet.  Android Studio is the official Integrated Development Environment (IDE) for Android app development, based on IntelliJ IDEA .  Patch 1 for Win 64-bit (872 MiB).",-,Approved,Desktop,2024-03-22
"InstallShield - Version 2021","SIP, a desktop application, installed on GSA Schedule Vendors' desktop, used for ingesting the catalog data from vendors to GSA Advantage.  This application was originally developed using Delphi software and continued with operations and maintenance.  There are active plans to migrate off of desktop based systems to web based systems as part of Catalog Management Modernization initiative.  Until the new system is available for use, we need to continue with our operations and maintenance of SIP using Delphi software.  This is a 3 year subscription.",-,Approved,Desktop,2024-03-04
"MBAM (Microsoft BitLocker Administration and Monitoring 2.x","Microsoft BitLocker Administration and Monitoring (MBAM) 2.5 provides a simplified administrative interface that you can use to manage BitLocker Drive Encryption which is used on every endpoint at GSA.","Windows Tool",Approved,Desktop,2022-03-01
"R statistical programming software 4.x","R provides a wide variety of statistical (linear and nonlinear modelling, classical statistical tests, time-series analysis, classification, clustering, …) and graphical techniques, and is highly extensible. The S language is often the vehicle of choice for research in statistical methodology, and R provides an Open Source route to participation in that activity. One of R’s strengths is the ease with which well-designed publication-quality plots can be produced, including mathematical symbols and formulae where needed. Great care has been taken over the defaults for the minor design choices in graphics, but the user retains full control.","Programming Environment",Approved,Desktop,2022-09-01
"Toad for Oracle 15.x","Installation on VDI or Servers only per per guidance from the Database Middleware Services team received from the Security team. 
Toad is a database management toolset for managing relational and non-relational databases using SQL aimed at database developers, database administrators, and data analysts.","Database Admin Tools",Approved,Other,2024-03-08
".NET 6.0 (SDK and runtime)","Developers are currently using Visual Studio 2019 and we need an upgrade path due to .NET Core 3.1  end-of-life in December 2022.  .NET 6.0 and Visual Studio 2022 are the path forward for these apps.  Licensing is included with any current ""Visual Studio Professional subscription""","Programming Environment",Approved,Desktop,2024-03-22
".net Core 5",".net Core is needed to build a new application which fulfills PBS business requirements.","Software Development",Approved,Other,2022-12-29
"7-Zip 19.x","7-Zip is a free and open-source file archiver, a utility used to place groups of files within compressed containers known as ""archives"".  This software is being used in the Network Hosting Center; a system that GSA received unlimited data rights to in FY21.  The Network Hosting Center is a post-award contract/price management system that supports multiple telecommunications contracts as well as the EIS IDIQ. 
https://sourceforge.net/p/sevenzip/discussion/45797/thread/0a7b47970b/","Workplace Productivity",Approved,Desktop,2023-12-18
"ABBYY  FlexiCapture","This technology is focused on increasing the capacity of the RPA Pipeline and improving the accuracy in data capturing in GSA RPA program.  Obtain GEAR approval for Smart OCR (ABBYY FlexiCapture) that has individualized requirements and will culminate into an integrated solution with UiPath Tools.

The ABBYY FlexiCapture technology enables GSA RPA program to leverage digital documents in GSA process (IT, Procurement, Business Lines and RPA) to increase the efficiency in decision making and improve data accuracy. Information about ABBYY FlexiCapture: 'Next generation of intelligent, accurate and highly scalable data capture and document processing software. It provides a single entry point to automatically transform the stream of different forms and documents of any structure and complexity into business-ready data.'",-,Approved,Server,2023-09-29
"ABT Site Commissioning Tool 3.x","The Siemens ABT Site Tool is the PC based tool to engineer and commission building automation
systems from Siemens.","Building Automation",Approved,Desktop,2023-05-29
"Active Directory Explorer v1.x (ADE)","Active Directory Explorer is an advanced Active Directory (AD) viewer and editor that permits enterprise and application administrators the ability to view/edit attributes of directory objects based on their role(s) within the enterprise.  Client installation is limited to (1) users with enterprise privileged accounts, (2) users with validated duties that require read-only access.","Access Control and Audit Control",Approved,Desktop,2022-06-24
"ActiveData For Excel - Professional Edition","We need this software in order to more thoroughly and more efficiently analyze large data upload/downloads from Salesforce applications.  This is an ad-on extension which works with MS Excel.  This software is used for Merging, Joining, Querying, Summarizing, Categorizing, de-duplicating data and difference of data between two or more .csv files or Excel files and also generating Advanced Data imports / exports and scrubbing and dubbing the data for import to Salesforce. This will make my Development and Release Management teams more productive in generating Data reports for business and while doing a lot of Advanced data related activities. (e.g. large TTS loads).",Plugins/Libraries,Approved,Desktop,2023-06-09
"Acumen Fuse and Risk","Technology is needed to provide swift and detailed reviews of project schedules. These kind of reviews often uncover issues that need to be addressed. This leads to a mitigation of the problem often resulting in reducing additional project costs and possible time extensions. It is also a risk assessment tool and provides advance warning of potential risks according to the schedule.  My organization will implement, initially, on high risk, high visibility, high dollar projects to assist in the management of the project schedule. I will use the tool to review the project schedules and advise project teams on potential schedule issues and risks.","Project Management Tools",Approved,Desktop,2023-04-21
"Acunetix v14","The existing Acunetix software was used by Noblis company prior to the new contract starting and Sevatec under the new contract has continued to use the existing license that was originally purchased.  Acunetix has its own stand alone AWS account but uses the GRACE contract vehicle and has its own ATO.  We would like to renew the license for 1 year with the intent of doing further analysis on other approved alternatives such as SonarQube or Netsparker to determine compatibility for follow-on years.","Intrusion Detection and Prevention",Approved,Server,2023-08-04
"Acunetix Web Vulnerability Scanner 10.x","Acunetix Web Vulnerability Scanner is able to inspect folder permissions and discover potentially unsafe HTTP methods that may be active on the target web server. Port scanning is another activity you can try with this application because if it discovers open ports, Acunetix Web Vulnerability Scanner will start testing in-depth the network security starting from that possible point of intrusion.  
Acunetix Web Vulnerability Scanner also checks out the data that is being sent by your web apps. For this purpose you have at your disposal a HTTP Sniffer and a HTTP Fuzzer to intercept, capture and modify the traffic, as well as check for dangerous flaws that would allow for a buffer overflow attack.","Vulnerabilities Scanning",Exception,Server,2021-10-01
"Adobe Acrobat Pro DC 2021 (Win/Mac)","Adobe Acrobat Pro DC 2021 software allows users to convert paper documents into searchable, electronic PDF files, to turn paper forms into fillable PDF forms, and to edit existing PDF documents.  It combines and organizes multiple file types into a single PDF document that can be shared with anyone, anywhere. It is one of the PDF editors used in GSA along with Foxit PhantomPDF.  Acrobat Pro DC is licensed and tracked through ServiceNow and Portal and is only installed for approved users.","PDF Software",Approved,Desktop,2023-05-12
"Adobe Acrobat Pro DC 2022 (22.xx or higher)","Adobe Acrobat Pro DC 2022 will replace existing 2021 version.  It is one of the PDF editors used in GSA along with Foxit PDF Editors.  Acrobat Pro DC is licensed and tracked through ServiceNow and Portal and is only installed for approved users.","PDF Software",Approved,Desktop,2024-03-22
