domain_name,domain_type,agency,city,state,city_state,country,the_geom
CITYOFTYLERTX.GOV,City,Non-Federal Agency,Tyler,TX,"TYLER, TX",United States,0101000020E61000009088299144D357C04D327216F62C4040
DREW-MS.GOV,City,Non-Federal Agency,Drew,MS,"DREW, MS",United States,0101000020E6100000E17F2BD9B1A156C02B137EA99FE74040
HAMPDENMAINE.GOV,City,Non-Federal Agency,Hampden,ME,"HAMPDEN, ME",United States,0101000020E6100000CAE02879751A52C08ECC237F30084540
WASHINGTONCOUNTYGA.GOV,County,Non-Federal Agency,Sandersville,GA,"SANDERSVILLE, GA",United States,0101000020E61000009D4B7155D9B354C0A1DB4B1AA37D4040
AMESLAB.GOV,Federal Agency,Department of Energy,Ames,IA,"AMES, IA",United States,0101000020E6100000DD5ED218AD6757C00D6C956071044540
HHSOPS.GOV,Federal Agency,Department of Health And Human Services,Rockville,MD,"ROCKVILLE, MD",United States,0101000020E6100000C408E1D1C64953C0986E1283C08A4340
DNA.GOV,Federal Agency,Department of Justice,Potomac,MD,"POTOMAC, MD",United States,0101000020E61000007311DF89594D53C058E2016553824340
OVC.GOV,Federal Agency,Department of Justice,Potomac,MD,"POTOMAC, MD",United States,0101000020E61000007311DF89594D53C058E2016553824340
FBIIC.GOV,Federal Agency,Federal Reserve System,Washington,DC,"WASHINGTON, DC",United States,0101000020E610000091B8C7D287605CC0F168E388B5904240
UCE.GOV,Federal Agency,Federal Trade Commission,Washington,DC,"WASHINGTON, DC",United States,0101000020E610000091B8C7D287605CC0F168E388B5904240
OREGONMETRO.GOV,State/Local Govt,Non-Federal Agency,Portland,OR,"PORTLAND, OR",United States,0101000020E61000009ACE4E0647AB5EC0AC8BDB6800C34640
CITYOFMORROWGA.GOV,City,Non-Federal Agency,Morrow,GA,"MORROW, GA",United States,0101000020E610000096CFF23CB81555C011018750A5CA4040
HIRAM-GA.GOV,City,Non-Federal Agency,Hiram,GA,"HIRAM, GA",United States,0101000020E61000007094BC3AC73055C02B357BA015F04040
NDSA.GOV,Federal Agency,Library of Congress,Washington,DC,"WASHINGTON, DC",United States,0101000020E610000091B8C7D287605CC0F168E388B5904240
OLATHEKS.GOV,State/Local Govt,Non-Federal Agency,Olathe,KS,"OLATHE, KS",United States,0101000020E61000000A4B3CA06CB457C0E25817B7D1704340
TX.GOV,State/Local Govt,Non-Federal Agency,Austin,TX,"AUSTIN, TX",United States,0101000020E6100000CFBD874B8E6F58C05C2041F163443E40
ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA,"ABERDEEN, WA",United States,0101000020E61000001E8A027D229F58C0C139234A7BBB4640
BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA,BOXBOROUGH MA,United States,0101000020E61000001DACFF7318E151C08BBE277BF03E4540
ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA,"ABINGDON, VA",United States,0101000020E6100000B8AF03E78C7E54C01EDC9DB5DB5A4240
GUAM.GOV,State/Local Govt,Non-Federal Agency,Agana,GU,AGANA GU,United States,0101000020E6100000D8A08A76F01762407984E4AE6FF12A40
ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA,"ABINGTON, MA",United States,0101000020E61000004D10751F80BC51C0BDFBE3BD6A0D4540
