Domain Name,Domain Type,Agency,City,State
GOODLETTSVILLE.GOV,City,Non-Federal Agency,Goodlettsville,TN
LITTLEROCK.GOV,City,Non-Federal Agency,Little Rock,AR
SANFRANCISCO.GOV,City,Non-Federal Agency,San Francisco,CA
SF.GOV,City,Non-Federal Agency,San Francisco,CA
ABERDEENMD.GOV,City,Non-Federal Agency,Aberdeen,MD
ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA
ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA
ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA
ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ
ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA
ACTONMA.GOV,City,Non-Federal Agency,Acton,MA
ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK
ADAMN.GOV,City,Non-Federal Agency,Ada,MN
ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX
ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI
AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY
AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH
ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX
ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY
ALBEMARLENC.GOV,City,Non-Federal Agency,Albemarle,NC
ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,Albuquerque,NM
ALEKNAGIKAK.GOV,City,Non-Federal Agency,Aleknagik,AK
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL
ALEXANDRIANJ.GOV,City,Non-Federal Agency,Milford,NJ
ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA
ALFREDME.GOV,City,Non-Federal Agency,Alfred,ME
ALGONAC-MI.GOV,City,Non-Federal Agency,Algonac,MI
ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA
ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN
ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA
ALLENDALENJ.GOV,City,Non-Federal Agency,Allendale,NJ
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH
ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA
ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI
ALPHARETTA-GA.GOV,City,Non-Federal Agency,Alpharetta,GA
ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH
ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA
ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX
ALTOONAPA.GOV,City,Non-Federal Agency,Altoona,PA
ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK
ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX
AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX
AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY
AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA
AMERYWI.GOV,City,Non-Federal Agency,Amery,WI
AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA
AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH
AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA
AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR
AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY
ANCHORAGEAK.GOV,City,Non-Federal Agency,Anchorage,AK
ANDOVER-NH.GOV,City,Non-Federal Agency,Andover,NH
ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA
ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN
ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM
ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels Camp,CA
ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA
ANNAPOLIS.GOV,City,Non-Federal Agency,Annapolis,MD
ANNAPOLISMD.GOV,City,Non-Federal Agency,Annapolis,MD
ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX
ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX
ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL
ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Lake Villa,IL
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT
APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA
AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA
ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX
ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL
ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA
ARCHDALE-NC.GOV,City,Non-Federal Agency,ARCHDALE,NC
ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS
ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX
ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA
ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX
ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA
ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM
ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA
ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA
ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC
ASHEVILLENC.GOV,City,Non-Federal Agency,Asheville,NC
ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN
ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY
ASHLANDVA.GOV,City,Non-Federal Agency,Ashland,VA
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH
ATHENSTX.GOV,City,Non-Federal Agency,Athens,TX
ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA
ATKINSON-NH.GOV,City,Non-Federal Agency,Atkinson,NH
ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA
ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL
ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN
AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX
AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME
AUBURNNY.GOV,City,Non-Federal Agency,Auburn,NY
AUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA
AUGUSTAGA.GOV,City,Non-Federal Agency,Augusta,GA
AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME
AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME
AURORATEXAS.GOV,City,Non-Federal Agency,Rhome,TX
AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA
AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX
AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX
AVON-MA.GOV,City,Non-Federal Agency,Avon,MA
AVONCT.GOV,City,Non-Federal Agency,Avon,CT
AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ
AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM
BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA
BAKERSFIELD-CA.GOV,City,Non-Federal Agency,Bakersfield,CA
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL
BALTIMORECITY.GOV,City,Non-Federal Agency,Baltimore,MD
BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME
BARHARBORMAINE.GOV,City,Non-Federal Agency,Bar Harbor,ME
BARLINGAR.GOV,City,Non-Federal Agency,Barling,AR
BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL
BASSLAKEWI.GOV,City,Non-Federal Agency,Hayward,WI
BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX
BATONROUGELA.GOV,City,Non-Federal Agency,Baton Rouge,LA
BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI
BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI
BATTLEFIELDMO.GOV,City,Non-Federal Agency,Battlefield,MO
BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN
BAYCOUNTY-MI.GOV,City,Non-Federal Agency,Bay City,MI
BAYHARBORISLANDS-FL.GOV,City,Non-Federal Agency,bay harbor islands,FL
BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,Bay St. Louis,MS
BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ
BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX
BEAUXARTS-WA.GOV,City,Non-Federal Agency,Beaux Arts,WA
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH
BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA
BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR
BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH
BECKEMEYERIL.GOV,City,Non-Federal Agency,Beckemeyer,IL
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH
BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA
BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY
BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH
BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX
BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA
BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX
BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS
BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM
BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX
BELLAVISTAAR.GOV,City,Non-Federal Agency,Bella Vista,AR
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL
BELLEFONTEPA.GOV,City,Non-Federal Agency,Bellefonte,PA
BELLEISLEFL.GOV,City,Non-Federal Agency,Belle Isle,FL
BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY
BELLERIVEACRESMO.GOV,City,Non-Federal Agency,Normandy,MO
BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA
BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA
