Domain Name,Domain Type,Agency,City,State
PHC-NSN.GOV,Native Sovereign Nation,Department of the Interior,Princeton,ME
29PALMSBOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Coachella,CA
ABSENTEESHAWNEETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Shawnee,OK
AGUACALIENTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Palm Springs,CA
AHA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Hogansburg,NY
AK-CHIN-NSN.GOV,Native Sovereign Nation,Indian Affairs,Maricopa,AZ
BADRIVER-NSN.GOV,Native Sovereign Nation,Indian Affairs,Odanah,WI
BARONA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Lakeside,CA
BEARRIVER-NSN.GOV,Native Sovereign Nation,Indian Affairs,Loleta,CA
BIHASITKA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Sitka,AK
BLUELAKERANCHERIA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Blue Lake,CA
BOISFORTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Nett Lake,MN
BRB-NSN.GOV,Native Sovereign Nation,Indian Affairs,LOLETA,CA
BURNSPAIUTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Burns,OR
CABAZONINDIANS-NSN.GOV,Native Sovereign Nation,Indian Affairs,Indio,CA
CADDONATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Binger,OK
CAMPO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Campo,CA
CAYUGANATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Seneca Falls ,NY
CDATRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Plummer,ID
CHEROKEE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Tahlequah,OK
CHICKASAW-GOVERNMENT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAW-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAWARTISANS-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAWGOVERNMENT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAWJUDICIAL-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAWLEGISLATURE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAWNATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHICKASAWTRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK
CHILKOOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Haines,AK
CHITIMACHA.GOV,Native Sovereign Nation,Indian Affairs,Charenton,LA
CHUKCHANSI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Fresno,CA
CIT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Havasu Lake,CA
COLUSA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Colusa,CA
COYOTEVALLEY-NSN.GOV,Native Sovereign Nation,Indian Affairs,Redwood valley,CA
CRHC-NSN.GOV,Native Sovereign Nation,Indian Affairs,Chico,CA
CRIT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Parker,AZ
CROW-NSN.GOV,Native Sovereign Nation,Indian Affairs,Crow Agency,MT
CRST-NSN.GOV,Native Sovereign Nation,Indian Affairs,EAGLE BUTTE,SD
EKLUTNA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Chugiak,AK
ELYSHOSHONETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ely,NV
ESTOO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Wyandotte,OK
EWIIAAPAAYP-NSN.GOV,Native Sovereign Nation,Indian Affairs,Alpine,CA
EYAK-NSN.GOV,Native Sovereign Nation,Indian Affairs,Cordova,AK
FCP-NSN.GOV,Native Sovereign Nation,Indian Affairs,Crandon,WI
FCPOTAWATOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Crandon,WI
FORTSILLAPACHE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Apache,OK
GILARIVER-NSN.GOV,Native Sovereign Nation,Indian Affairs,Sacaton,AZ
GLT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Dorr,MI
GUNLAKETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Dorr,MI
HANNAHVILLEPOTAWATOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Wilson,MI
HAVASUPAI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Supai,AZ
HOOPA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Hoopa,CA
HOPI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Kykotsmovi,AZ
HPULTRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Upper Lake,CA
HUALAPAI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Peach Springs,AZ
IIPAYNATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,santa ysabel,CA
ISLETAPUEBLO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Isleta,NM
JACKSONRANCHERIA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Jackson,CA
KAIBABPAIUTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Fredonia,AZ
KAWAIKA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Laguna,NM
KAYENTATOWNSHIP-NSN.GOV,Native Sovereign Nation,Indian Affairs,Kayenta,AZ
KBIC-NSN.GOV,Native Sovereign Nation,Indian Affairs,Baraga,MI
