Domain Name,Domain Type,Agency,City,State,Status
MTC.GOV,State/Local Govt,Multistate Tax Commission,Washington,DC,ACTIVE
IUS.GOV,State/Local Govt,National Gallery of Art,Boise,ID,ACTIVE
511MAINE.GOV,State/Local Govt,Non-Federal Agency,Augusta,ME,ACTIVE
511NY.GOV,State/Local Govt,Non-Federal Agency,Albany,NY,ACTIVE
511TX.GOV,State/Local Govt,Non-Federal Agency,Austin,TX,ACTIVE
511WI.GOV,State/Local Govt,Non-Federal Agency,Madison,WI,ACTIVE
ABLETN.GOV,State/Local Govt,Non-Federal Agency,Nashville,TN,ACTIVE
ACCESSTN.GOV,State/Local Govt,Non-Federal Agency,NASHVILLE,TN,ACTIVE
ADRCNJ.GOV,State/Local Govt,Non-Federal Agency,Mercerville,NJ,ACTIVE
AGAZ.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,ACTIVE
AGUTAH.GOV,State/Local Govt,Non-Federal Agency,Salt Lake City,UT,ACTIVE
AK.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK,ACTIVE
AKAEROSPACE.GOV,State/Local Govt,Non-Federal Agency,Anchorage,AK,ACTIVE
AKLEG.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK,ACTIVE
AL-LEGISLATURE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
AL.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMAAGELINE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMACONNECT.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMADA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMADEMENTIA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMAHOUSEPHOTOS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMASMP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABAMAVOTES.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALABPP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALACOP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALACOURT.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALADA.GOV,State/Local Govt,Non-Federal Agency,Mongomery,AL,ACTIVE
ALADNA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALAPPEALS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALASAFE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALASKA.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK,ACTIVE
ALASKACARE.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK,ACTIVE
ALDOI.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALEA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL,ACTIVE
ALHOUSE.GOV,State/Local Govt,Non-Federal Agency,Montgomery ,AL,ACTIVE
ALPHARETTA-GA.GOV,State/Local Govt,Non-Federal Agency,Alpharetta,GA,ACTIVE
ALSENATE.GOV,State/Local Govt,Non-Federal Agency,Montgomery ,AL,ACTIVE
AMERICANSAMOA.GOV,State/Local Govt,Non-Federal Agency,Pago Pago,AS,ACTIVE
AMESBURYMA.GOV,State/Local Govt,Non-Federal Agency,Amesbury,MA,ACTIVE
ANNAPOLIS.GOV,State/Local Govt,Non-Federal Agency,Annapolis,MD,ACTIVE
ANNAPOLISMD.GOV,State/Local Govt,Non-Federal Agency,Annapolis,MD,ACTIVE
AQMD.GOV,State/Local Govt,Non-Federal Agency,Diamond Bar,CA,ACTIVE
AR.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
ARCOURTS.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
ARIZONA.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,ACTIVE
ARIZONAJOBCONNECTION.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,ACTIVE
ARIZONATURBOCOURT.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,ACTIVE
ARKANSAS.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
ARKANSASAG.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
ARKANSASED.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
ARKLEGAUDIT.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
ARTREASURY.GOV,State/Local Govt,Non-Federal Agency,Litlte Rock,AR,ACTIVE
ARTRS.GOV,State/Local Govt,Non-Federal Agency,Little Rock,AR,ACTIVE
AS.GOV,State/Local Govt,Non-Federal Agency,Pago Pago,AS,ACTIVE
ASAFERFLORIDA.GOV,State/Local Govt,Non-Federal Agency,Tallahassee,FL,ACTIVE
ASEPA.GOV,State/Local Govt,Non-Federal Agency,Pago Pago,AS,ACTIVE
ATHOMEILLINOIS.GOV,State/Local Govt,Non-Federal Agency,Chicago,IL,ACTIVE
ATLASALABAMA.GOV,State/Local Govt,Non-Federal Agency,TUSCALOOSA,AL,ACTIVE
ATTORNEYGENERAL.GOV,State/Local Govt,Non-Federal Agency,Harrisburg,PA,ACTIVE
AUGUSTAGA.GOV,State/Local Govt,Non-Federal Agency,Augusta,GA,ACTIVE
AVON-MA.GOV,State/Local Govt,Non-Federal Agency,Avon,MA,ACTIVE
AZ-ACOIHC.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ,ACTIVE
AZ-FHSD.GOV,State/Local Govt,Non-Federal Agency,Fountain Hills,AZ,ACTIVE
