Domain Name,Domain Type,Agency,City,State
ICATCO.GOV,County,General Services Administration,Newton,NC
ADAMSCOUNTYMS.GOV,County,Non-Federal Agency,Natchez,MS
ADAMSCOUNTYOH.GOV,County,Non-Federal Agency,West Union,OH
AIKENCOUNTYSC.GOV,County,Non-Federal Agency,Aiken,SC
ALBANYCOUNTYNY.GOV,County,Non-Federal Agency,Albany,NY
ALEXANDERCOUNTY-NC.GOV,County,Non-Federal Agency,Taylorsville,NC
ALEXANDERCOUNTYNC.GOV,County,Non-Federal Agency,Taylorsville,NC
ALLEGHANYCOUNTY-NC.GOV,County,Non-Federal Agency,Sparta,NC
ALLEGHENYCOUNTYPA.GOV,County,Non-Federal Agency,Pittsburgh,PA
ALPINECOUNTYCA.GOV,County,Non-Federal Agency,Markleeville,CA
AMITECOUNTYMS.GOV,County,Non-Federal Agency,Liberty,MS
ANDROSCOGGINCOUNTYMAINE.GOV,County,Non-Federal Agency,Auburn,ME
ANOKACOUNTYMN.GOV,County,Non-Federal Agency,Anoka,MN
APPOMATTOXCOUNTYVA.GOV,County,Non-Federal Agency,Appomattox,VA
ARANSASCOUNTYTX.GOV,County,Non-Federal Agency,Rockport,TX
AUGUSTACOUNTY-VA.GOV,County,Non-Federal Agency,Verona,VA
AUGUSTACOUNTYVA.GOV,County,Non-Federal Agency,Verona,VA
AVERYCOUNTYNC.GOV,County,Non-Federal Agency,Newland,NC
BACACOUNTYCO.GOV,County,Non-Federal Agency,Springfield,CO
BALDWINCOUNTYAL.GOV,County,Non-Federal Agency,Bay Minette,AL
BALTIMORECOUNTYMD.GOV,County,Non-Federal Agency,Towson,MD
BAMBERGCOUNTYSC.GOV,County,Non-Federal Agency,Bamberg,SC
BARNSTABLECOUNTY-MA.GOV,County,Non-Federal Agency,Barnstable,MA
BARRONCOUNTYWI.GOV,County,Non-Federal Agency,Barron,WI
BASTROPCOUNTYTEXAS.GOV,County,Non-Federal Agency,Bastrop,TX
BAYCOUNTY911-MI.GOV,County,Non-Federal Agency,Bay City,MI
BAYCOUNTYFL.GOV,County,Non-Federal Agency,Panama City,FL
BCCIRCLK.GOV,County,Non-Federal Agency,Princeton,IL
BEAVERCOUNTYPA.GOV,County,Non-Federal Agency,Beaver,PA
BEDFORDCOUNTYVA.GOV,County,Non-Federal Agency,Bedford,VA
BENTONCOUNTYAR.GOV,County,Non-Federal Agency,Bentonville,AR
BENTONCOUNTYMS.GOV,County,Non-Federal Agency,Ashland,MS
BENTONCOUNTYTN.GOV,County,Non-Federal Agency,Camden,TN
BERKELEYCOUNTYSC.GOV,County,Non-Federal Agency,Moncks Corner,SC
BERRIENCOUNTY-MI.GOV,County,Non-Federal Agency,St. Joseph,MI
BIGHORNCOUNTYMT.GOV,County,Non-Federal Agency,Hardin,MT
BIGHORNCOUNTYWY.GOV,County,Non-Federal Agency,Basin,WY
BILLINGSCOUNTYND.GOV,County,Non-Federal Agency,Medora,ND
BLAINECOUNTY-MT.GOV,County,Non-Federal Agency,CHINOOK,MT
BLANDCOUNTYVA.GOV,County,Non-Federal Agency,Bland,VA
BLUEEARTHCOUNTYMN.GOV,County,Non-Federal Agency,Mankato,MN
BONNERCOUNTYID.GOV,County,Non-Federal Agency,Sandpoint,ID
BOONECOUNTY-AR.GOV,County,Non-Federal Agency,Harrison,AR
BOSSIERPARISHLA.GOV,County,Non-Federal Agency,Benton ,LA
BOTETOURTVA.GOV,County,Non-Federal Agency,Fincastle,VA
BOULDERCOUNTYCOLORADO.GOV,County,Non-Federal Agency,Boulder,CO
BOWMANCOUNTYND.GOV,County,Non-Federal Agency,Bismarck,ND
BOYDCOUNTYKY.GOV,County,Non-Federal Agency,Catlettsburg,KY
BRADFORDCOUNTYFL.GOV,County,Non-Federal Agency,Starke,FL
BRADLEYCOUNTYTN.GOV,County,Non-Federal Agency,Cleveland,TN
BRANCHCOUNTYMI.GOV,County,Non-Federal Agency,Coldwater,MI
BRAZORIACOUNTY-TX.GOV,County,Non-Federal Agency,Angleton,TX
BRAZORIACOUNTY.GOV,County,Non-Federal Agency,Angleton,TX
BRAZORIACOUNTYTX.GOV,County,Non-Federal Agency,Angleton,TX
BRAZOSCOUNTYTX.GOV,County,Non-Federal Agency,Bryan,TX
BREVARDFL.GOV,County,Non-Federal Agency,Viera,FL
BROOKINGSCOUNTYSD.GOV,County,Non-Federal Agency,Brookings,SD
BROOMECOUNTYNY.GOV,County,Non-Federal Agency,Binghamton,NY
BROWNCOUNTY-IN.GOV,County,Non-Federal Agency,Nashville,IN
BROWNCOUNTYOHIO.GOV,County,Non-Federal Agency,Georgetown,OH
BROWNCOUNTYWI.GOV,County,Non-Federal Agency,Green Bay,WI
BRUNSWICKCOUNTYNC.GOV,County,Non-Federal Agency,Bolivia,NC
BUCHANANCOUNTY-VA.GOV,County,Non-Federal Agency,Grundy,VA
BUNCOMBECOUNTYNC.GOV,County,Non-Federal Agency,Asheville,NC
BUREAUCOUNTY-IL.GOV,County,Non-Federal Agency,Princeton,IL
CABARRUSCOUNTYNC.GOV,County,Non-Federal Agency,Concord,NC
CALHOUNCOUNTYAL.GOV,County,Non-Federal Agency,Anniston,AL
CALHOUNCOUNTYMI.GOV,County,Non-Federal Agency,Marshall,MI
CALLOWAYCOUNTY-KY.GOV,County,Non-Federal Agency,Murray,KY
CAMBRIACOUNTYPA.GOV,County,Non-Federal Agency,Ebensburg,PA
CAMDENCOUNTYNC.GOV,County,Non-Federal Agency,Camden,NC
CAMPBELLCOUNTYKY.GOV,County,Non-Federal Agency,Newport,KY
CAMPBELLCOUNTYTN.GOV,County,Non-Federal Agency,Jacksboro,TN
CAMPBELLCOUNTYVA.GOV,County,Non-Federal Agency,Rustburg,VA
CANDLERCO-GA.GOV,County,Non-Federal Agency,Metter,GA
CAPECOD-MA.GOV,County,Non-Federal Agency,Barnstable,MA
CAPEMAYCOUNTYNJ.GOV,County,Non-Federal Agency,Cape May Court House,NJ
CAPITALALERT.GOV,County,Non-Federal Agency,Fairfax,VA
CAPITALERT.GOV,County,Non-Federal Agency,Fairfax,VA
CAPITALREGION.GOV,County,Non-Federal Agency,Fairfax,VA
CAROLINECOUNTYVA.GOV,County,Non-Federal Agency,Bowling Green,VA
CARROLLCOUNTYIN.GOV,County,Non-Federal Agency,Delphi,IN
CARTERCOUNTYTN.GOV,County,Non-Federal Agency,Elizabethton,TN
CARTERETCOUNTYNC.GOV,County,Non-Federal Agency,Beaufort,NC
CASCADECOUNTYMT.GOV,County,Non-Federal Agency,Great Falls,MT
CASSCOUNTYND.GOV,County,Non-Federal Agency,Bismarck,ND
CASWELLCOUNTYNC.GOV,County,Non-Federal Agency,Yanceyville,NC
CATAWBACOUNTYNC.GOV,County,Non-Federal Agency,Newton,NC
CATRONCOUNTYNM.GOV,County,Non-Federal Agency,Reserve,NM
CECILCOUNTYMD.GOV,County,Non-Federal Agency,Elkton,MD
CEDARCOUNTYMO.GOV,County,Non-Federal Agency,Stockton,MO
CENTRECOUNTYPA.GOV,County,Non-Federal Agency,Bellefonte,PA
CHAMBERSCOUNTYAL.GOV,County,Non-Federal Agency,Lafayette,AL
CHAMBERSTX.GOV,County,Non-Federal Agency,Anahuac,TX
CHARLESCOUNTYMD.GOV,County,Non-Federal Agency,La Plata,MD
CHARLOTTECOUNTYFL.GOV,County,Non-Federal Agency,Port Charlotte,FL
CHATHAMCOUNTYGA.GOV,County,Non-Federal Agency,Savannah,GA
CHEATHAMCOUNTYTN.GOV,County,Non-Federal Agency,Ashland City,TN
CHELANCOUNTYWA.GOV,County,Non-Federal Agency,Wenatchee,WA
CHEROKEECOUNTY-AL.GOV,County,Non-Federal Agency,Centre,AL
CHEROKEECOUNTY-KS.GOV,County,Non-Federal Agency,Columbus,KS
CHEROKEECOUNTY-NC.GOV,County,Non-Federal Agency,Murphy,NC
CHEROKEECOUNTYKS.GOV,County,Non-Federal Agency,Columbus,KS
CHEROKEECOUNTYSC.GOV,County,Non-Federal Agency,Gaffney,SC
CHESTERFIELDCOUNTY.GOV,County,Non-Federal Agency,Chesterfield,VA
CHEYENNECOUNTY-CO.GOV,County,Non-Federal Agency,CHEYENNE WELLS,CO
CHIPPEWACOUNTYMI.GOV,County,Non-Federal Agency,Sault Ste Marie,MI
CHRISTIANCOUNTYKY.GOV,County,Non-Federal Agency,Hopkinsville,KY
CHRISTIANCOUNTYMO.GOV,County,Non-Federal Agency,Ozark,MO
CLARKCOUNTYNV.GOV,County,Non-Federal Agency,Las Vegas,NV
CLARKCOUNTYOHIO.GOV,County,Non-Federal Agency,Springfield,OH
CLARKECOUNTY.GOV,County,Non-Federal Agency,Berryville,VA
CLARKECOUNTYMS.GOV,County,Non-Federal Agency,Quitman,MS
CLATSOPCOUNTYOR.GOV,County,Non-Federal Agency,Astoria,OR
CLAYCOUNTYMN.GOV,County,Non-Federal Agency,Moorhead,MN
CLAYCOUNTYMO.GOV,County,Non-Federal Agency,Liberty,MO
CLAYTONCOUNTYGA.GOV,County,Non-Federal Agency,Jonesboro,GA
CLAYTONCOUNTYIA.GOV,County,Non-Federal Agency,Elkader,IA
CLERMONTCOUNTYOHIO.GOV,County,Non-Federal Agency,Batavia,OH
CLINTONCOUNTY-IA.GOV,County,Non-Federal Agency,Clinton,IA
COLUMBIACOUNTYGA.GOV,County,Non-Federal Agency,Evans,GA
COLUMBIACOUNTYNY.GOV,County,Non-Federal Agency,Hudson,NY
CONVERSECOUNTYWY.GOV,County,Non-Federal Agency,Douglas,WY
COOKCOUNTYIL.GOV,County,Non-Federal Agency,Chicago,IL
COOPERCOUNTYMO.GOV,County,Non-Federal Agency,Boonville,MO
COPIAHCOUNTYMS.GOV,County,Non-Federal Agency,Hazlehurst,MS
CORONADOCA.GOV,County,Non-Federal Agency,Coronado,CA
COSCPINALCOUNTYAZ.GOV,County,Non-Federal Agency,Florence,AZ
COSTILLACOUNTY-CO.GOV,County,Non-Federal Agency,San Luis,CO
COUNTYOFVENTURACA.GOV,County,Non-Federal Agency,VENTURA,CA
COVINGTONCOUNTYMS.GOV,County,Non-Federal Agency,Collins,MS
CRAIGCOUNTYVA.GOV,County,Non-Federal Agency,New Castle,VA
CRAVENCOUNTYNC.GOV,County,Non-Federal Agency,New Bern,NC
CRAWFORDCOUNTYKANSAS.GOV,County,Non-Federal Agency,Girard,KS
CRAWFORDCOUNTYMO.GOV,County,Non-Federal Agency,Steelville,MO
CULPEPERCOUNTY.GOV,County,Non-Federal Agency,Culpeper,VA
CUMBERLANDCOUNTYTN.GOV,County,Non-Federal Agency,Crossville,TN
CURRITUCKCOUNTYNC.GOV,County,Non-Federal Agency,Currituck,NC
DADECOUNTY-GA.GOV,County,Non-Federal Agency,Trenton,GA
DAKOTACOUNTYMN.GOV,County,Non-Federal Agency,Hastings,MN
DALLASCOUNTY-TX.GOV,County,Non-Federal Agency,Dallas,TX
DALLASCOUNTYIOWA.GOV,County,Non-Federal Agency,Adel,IA
DARECOUNTYNC.GOV,County,Non-Federal Agency,Manteo,NC
DAVIDSONCOUNTYNC.GOV,County,Non-Federal Agency,Lexington,NC
DAVIECOUNTYNC.GOV,County,Non-Federal Agency,Mocksville,NC
DAVISCOUNTYUT4HEALTH.GOV,County,Non-Federal Agency,Farmington,UT
DAVISCOUNTYUTAH.GOV,County,Non-Federal Agency,Farmington,UT
DAVISUT4HEALTH.GOV,County,Non-Federal Agency,Farmington,UT
DAWSONCOUNTYNE.GOV,County,Non-Federal Agency,Lexington,NE
DCONC.GOV,County,Non-Federal Agency,Durham,NC
DECATURCOUNTYGA.GOV,County,Non-Federal Agency,Bainbridge,GA
DEKALBCOUNTYGA.GOV,County,Non-Federal Agency,Decatur,GA
DEKALBCOUNTYIL.GOV,County,Non-Federal Agency,Sycamore,IL
DESOTOCOUNTYMS.GOV,County,Non-Federal Agency,HERNANDO,MS
DICKINSONCOUNTYMI.GOV,County,Non-Federal Agency,Iron Mountain,MI
DICKSONCOUNTYTN.GOV,County,Non-Federal Agency,Charlotte,TN
DOUGLASCOUNTY-NE.GOV,County,Non-Federal Agency,Omaha,NE
DOUGLASCOUNTYNV.GOV,County,Non-Federal Agency,Minden,NV
DUNNCOUNTYWI.GOV,County,Non-Federal Agency,Menomonie,WI
DURHAMCOUNTYNC.GOV,County,Non-Federal Agency,Durham,NC
ECTORCOUNTYTX.GOV,County,Non-Federal Agency,Odessa,TX
EDGECOMBECOUNTYNC.GOV,County,Non-Federal Agency,Tarboro,NC
ELBERTCOUNTY-CO.GOV,County,Non-Federal Agency,Kiowa,CO
EMANUELCO-GA.GOV,County,Non-Federal Agency,Swainsboro,GA
ERIE.GOV,County,Non-Federal Agency,Buffalo,NY
ERIECOUNTYPA.GOV,County,Non-Federal Agency,Erie,PA
EUREKACOUNTYNV.GOV,County,Non-Federal Agency,Eureka,NV
