Domain Name,Domain Type,Agency,City,State,Status
SANFRANCISCO.GOV,City,General Services Administration,San Francisco,CA,ACTIVE
SF.GOV,City,General Services Administration,San Francisco,CA,ACTIVE
ABERDEENMD.GOV,City,Non-Federal Agency,Aberdeen,MD,ACTIVE
ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA,ACTIVE
ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA,ACTIVE
ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA,ACTIVE
ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ,ACTIVE
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ,ACTIVE
ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA,ACTIVE
ACTONMA.GOV,City,Non-Federal Agency,Acton,MA,ACTIVE
ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK,ACTIVE
ADAMN.GOV,City,Non-Federal Agency,Ada,MN,ACTIVE
ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX,ACTIVE
ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI,ACTIVE
AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY,ACTIVE
AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH,ACTIVE
ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA,ACTIVE
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX,ACTIVE
ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY,ACTIVE
ALBEMARLENC.GOV,City,Non-Federal Agency,Albemarle,NC,ACTIVE
ALBUQUERQUE-NM.GOV,City,Non-Federal Agency,Albuquerque,NM,ACTIVE
ALEKNAGIKAK.GOV,City,Non-Federal Agency,Aleknagik,AK,ACTIVE
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL,ACTIVE
ALEXANDRIANJ.GOV,City,Non-Federal Agency,Milford,NJ,ACTIVE
ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA,ACTIVE
ALFREDME.GOV,City,Non-Federal Agency,Alfred,ME,ACTIVE
ALGONAC-MI.GOV,City,Non-Federal Agency,Algonac,MI,ACTIVE
ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA,ACTIVE
ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN,ACTIVE
ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA,ACTIVE
ALLENDALENJ.GOV,City,Non-Federal Agency,Allendale,NJ,ACTIVE
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH,ACTIVE
ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA,ACTIVE
ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH,ACTIVE
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI,ACTIVE
ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH,ACTIVE
ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA,ACTIVE
ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX,ACTIVE
ALTOONAPA.GOV,City,Non-Federal Agency,Altoona,PA,ACTIVE
ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK,ACTIVE
ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX,ACTIVE
AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX,ACTIVE
AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY,ACTIVE
AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA,ACTIVE
AMERYWI.GOV,City,Non-Federal Agency,Amery,WI,ACTIVE
AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA,ACTIVE
AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH,ACTIVE
AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA,ACTIVE
AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR,ACTIVE
AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY,ACTIVE
ANCHORAGEAK.GOV,City,Non-Federal Agency,Anchorage,AK,ACTIVE
ANDOVER-NH.GOV,City,Non-Federal Agency,Andover,NH,ACTIVE
ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA,ACTIVE
ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN,ACTIVE
ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM,ACTIVE
ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels Camp,CA,ACTIVE
ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA,ACTIVE
ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX,ACTIVE
ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX,ACTIVE
ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL,ACTIVE
ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Lake Villa,IL,ACTIVE
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Apple Valley,CA,ACTIVE
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT,ACTIVE
APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA,ACTIVE
AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA,ACTIVE
ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX,ACTIVE
ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL,ACTIVE
ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA,ACTIVE
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA,ACTIVE
ARCHDALE-NC.GOV,City,Non-Federal Agency,ARCHDALE,NC,ACTIVE
ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS,ACTIVE
ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX,ACTIVE
ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA,ACTIVE
ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX,ACTIVE
ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA,ACTIVE
ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM,ACTIVE
ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL,ACTIVE
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA,ACTIVE
ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA,ACTIVE
ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC,ACTIVE
ASHEVILLENC.GOV,City,Non-Federal Agency,Asheville,NC,ACTIVE
ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO,ACTIVE
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN,ACTIVE
ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY,ACTIVE
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH,ACTIVE
ATHENSTX.GOV,City,Non-Federal Agency,Athens,TX,ACTIVE
ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA,ACTIVE
ATKINSON-NH.GOV,City,Non-Federal Agency,Atkinson,NH,ACTIVE
ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA,ACTIVE
ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL,ACTIVE
ATRISCO-NM.GOV,City,Non-Federal Agency,Atrisco,NM,ACTIVE
ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN,ACTIVE
AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX,ACTIVE
AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME,ACTIVE
AUBURNNY.GOV,City,Non-Federal Agency,Auburn,NY,ACTIVE
AUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA,ACTIVE
AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME,ACTIVE
AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME,ACTIVE
AURORATEXAS.GOV,City,Non-Federal Agency,Rhome,TX,ACTIVE
AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA,ACTIVE
AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX,ACTIVE
AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX,ACTIVE
AVONCT.GOV,City,Non-Federal Agency,Avon,CT,ACTIVE
AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ,ACTIVE
AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM,ACTIVE
BADENPA.GOV,City,Non-Federal Agency,Baden,PA,ACTIVE
BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA,ACTIVE
BAKERSFIELD-CA.GOV,City,Non-Federal Agency,Bakersfield,CA,ACTIVE
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL,ACTIVE
BALTIMORECITY.GOV,City,Non-Federal Agency,Baltimore,MD,ACTIVE
BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME,ACTIVE
BARLINGAR.GOV,City,Non-Federal Agency,Barling,AR,ACTIVE
BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL,ACTIVE
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL,ACTIVE
BASSLAKEWI.GOV,City,Non-Federal Agency,Hayward,WI,ACTIVE
BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX,ACTIVE
BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI,ACTIVE
BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI,ACTIVE
BATTLEFIELDMO.GOV,City,Non-Federal Agency,Battlefield,MO,ACTIVE
BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN,ACTIVE
BAYCOUNTY-MI.GOV,City,Non-Federal Agency,Bay City,MI,ACTIVE
BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI,ACTIVE
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,Bay St. Louis,MS,ACTIVE
BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY,ACTIVE
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ,ACTIVE
BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA,ACTIVE
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX,ACTIVE
BEAUXARTS-WA.GOV,City,Non-Federal Agency,Beaux Arts,WA,ACTIVE
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH,ACTIVE
BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA,ACTIVE
BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR,ACTIVE
BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH,ACTIVE
BECKEMEYERIL.GOV,City,Non-Federal Agency,Beckemeyer,IL,ACTIVE
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH,ACTIVE
BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA,ACTIVE
BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY,ACTIVE
BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH,ACTIVE
BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX,ACTIVE
BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA,ACTIVE
