Domain Name,Domain Type,Agency,City,State
ACUS.GOV,Federal Agency,Administrative Conference of the United States,WASHINGTON,DC
ACHP.GOV,Federal Agency,Advisory Council on Historic Preservation,Washington,DC
PRESERVEAMERICA.GOV,Federal Agency,Advisory Council on Historic Preservation,Washington,DC
ADF.GOV,Federal Agency,African Development Foundation,Washington,DC
USADF.GOV,Federal Agency,African Development Foundation,Washington,DC
ABMC.GOV,Federal Agency,American Battle Monuments Commission,Arlington,VA
AMTRAKOIG.GOV,Federal Agency,AMTRAK,Washington,DC
ARC.GOV,Federal Agency,Appalachian Regional Commission,Washington,DC
ASC.GOV,Federal Agency,Appraisal Subcommittee,Washington,DC
AFRH.GOV,Federal Agency,Armed Forces Retirement Home,Washington,DC
CIA.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
IC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
ISTAC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
NCTC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
ODCI.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
OPENSOURCE.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
OSDE.GOV,Federal Agency,Central Intelligence Agency,Reston,VA
TTIC.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
UCIA.GOV,Federal Agency,Central Intelligence Agency,Washington,DC
CHRISTOPHERCOLUMBUSFOUNDATION.GOV,Federal Agency,Christopher Columbus Fellowship Foundation,Washington,DC
CAP.GOV,Federal Agency,Civil Air Patrol,BIRMINGHAM,MI
CAPNHQ.GOV,Federal Agency,Civil Air Patrol,MAXWELL AFB,AL
ABILITYONE.FED.US,Federal Agency,Comm for People Who Are Blind/Severly Disabled,Arlington,VA
ABILITYONE.GOV,Federal Agency,Comm for People Who Are Blind/Severly Disabled,Arlington,VA
JWOD.GOV,Federal Agency,Comm for People Who Are Blind/Severly Disabled,Arlington,VA
CFTC.GOV,Federal Agency,Commodity Futures Trading Commission,Washington,DC
SMARTCHECK.GOV,Federal Agency,Commodity Futures Trading Commission,Washington,DC
COMPLIANCE.GOV,Federal Agency,Congressional Office of Compliance,Washington,DC
BCFP.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CFPA.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CFPB.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERFINANCE.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERFINANCIAL.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERFINANCIALBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERFINANCIALPROTECTIONBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERPROTECTION.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
CONSUMERPROTECTIONBUREAU.GOV,Federal Agency,Consumer Financial Protection Bureau,Washington,DC
ANCHORIT.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
ATVSAFETY.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
CPSC.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
DRYWALLRESPONSE.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
POOLSAFELY.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
POOLSAFETY.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
RECALLS.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
SAFERPRODUCT.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
SAFERPRODUCTS.GOV,Federal Agency,Consumer Product Safety Commission,Bethesda,MD
