Domain Name,Domain Type,Agency,City,State
MTC.GOV,State/Local Govt,Multistate Tax Commission,Washington,DC
IUS.GOV,State/Local Govt,National Gallery of Art,Boise,ID
511NY.GOV,State/Local Govt,Non-Federal Agency,Albany,NY
511TX.GOV,State/Local Govt,Non-Federal Agency,Austin,TX
511WI.GOV,State/Local Govt,Non-Federal Agency,Madison,WI
ABLETN.GOV,State/Local Govt,Non-Federal Agency,Nashville,TN
ACCESSTN.GOV,State/Local Govt,Non-Federal Agency,NASHVILLE,TN
ADRCNJ.GOV,State/Local Govt,Non-Federal Agency,Mercerville,NJ
AGAZ.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ
AGUTAH.GOV,State/Local Govt,Non-Federal Agency,Salt Lake City,UT
AK.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK
AKAEROSPACE.GOV,State/Local Govt,Non-Federal Agency,Anchorage,AK
AKLEG.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK
AL-LEGISLATURE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
AL.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAAGELINE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMADA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMADEMENTIA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAHOUSEPHOTOS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAOMBUDSMAN.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMASMP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAVOTES.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABPP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALACOP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALACOURT.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALADA.GOV,State/Local Govt,Non-Federal Agency,Mongomery,AL
ALADNA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALAPPEALS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALASAFE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALASKA.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK
ALASKACARE.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK
ALBANYGA.GOV,State/Local Govt,Non-Federal Agency,Albany,GA
ALCONSERVATIONDISTRICTS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
