Domain Name,Domain Type,Agency,City,State,Status
29PALMSBOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Coachella,CA,ACTIVE
ABSENTEESHAWNEETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Shawnee,OK,ACTIVE
AGUACALIENTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Palm Springs,CA,ACTIVE
AHA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Hogansburg,NY,ACTIVE
AK-CHIN-NSN.GOV,Native Sovereign Nation,Indian Affairs,Maricopa,AZ,ACTIVE
BADRIVER-NSN.GOV,Native Sovereign Nation,Indian Affairs,Odanah,WI,ACTIVE
BARONA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Lakeside,CA,ACTIVE
BEARRIVER-NSN.GOV,Native Sovereign Nation,Indian Affairs,Loleta,CA,ACTIVE
BIHASITKA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Sitka,AK,ACTIVE
BLUELAKERANCHERIA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Blue Lake,CA,ACTIVE
BOISFORTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Nett Lake,MN,ACTIVE
BRB-NSN.GOV,Native Sovereign Nation,Indian Affairs,LOLETA,CA,ACTIVE
BURNSPAIUTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Burns,OR,ACTIVE
CABAZONINDIANS-NSN.GOV,Native Sovereign Nation,Indian Affairs,Indio,CA,ACTIVE
CADDONATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Binger,OK,ACTIVE
CAHTOTRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Laytonville,CA,ACTIVE
CAMPO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Campo,CA,ACTIVE
CAYUGANATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Seneca Falls ,NY,ACTIVE
CCTHITA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Juneau,AK,ACTIVE
CDATRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Plummer,ID,ACTIVE
CHEROKEE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Tahlequah,OK,ACTIVE
CHICKASAW-GOVERNMENT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAW-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAWARTISANS-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAWGOVERNMENT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAWJUDICIAL-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAWLEGISLATURE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAWNATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHICKASAWTRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ada,OK,ACTIVE
CHILKOOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Haines,AK,ACTIVE
CHITIMACHA.GOV,Native Sovereign Nation,Indian Affairs,Charenton,LA,ACTIVE
CHUKCHANSI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Fresno,CA,ACTIVE
CIT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Havasu Lake,CA,ACTIVE
COLUSA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Colusa,CA,ACTIVE
COYOTEVALLEY-NSN.GOV,Native Sovereign Nation,Indian Affairs,Redwood valley,CA,ACTIVE
CRHC-NSN.GOV,Native Sovereign Nation,Indian Affairs,Chico,CA,ACTIVE
CRIT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Parker,AZ,ACTIVE
CROW-NSN.GOV,Native Sovereign Nation,Indian Affairs,Crow Agency,MT,ACTIVE
CRST-NSN.GOV,Native Sovereign Nation,Indian Affairs,EAGLE BUTTE,SD,ACTIVE
EKLUTNA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Chugiak,AK,ACTIVE
ELYSHOSHONETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ely,NV,ACTIVE
ESTOO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Wyandotte,OK,ACTIVE
EWIIAAPAAYP-NSN.GOV,Native Sovereign Nation,Indian Affairs,Alpine,CA,ACTIVE
EYAK-NSN.GOV,Native Sovereign Nation,Indian Affairs,Cordova,AK,ACTIVE
FCP-NSN.GOV,Native Sovereign Nation,Indian Affairs,Crandon,WI,ACTIVE
FCPOTAWATOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Crandon,WI,ACTIVE
FORTSILLAPACHE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Apache,OK,ACTIVE
GILARIVER-NSN.GOV,Native Sovereign Nation,Indian Affairs,Sacaton,AZ,ACTIVE
GLT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Dorr,MI,ACTIVE
GUNLAKETRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Dorr,MI,ACTIVE
HANNAHVILLEPOTAWATOMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Wilson,MI,ACTIVE
HAVASUPAI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Supai,AZ,ACTIVE
HOOPA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Hoopa,CA,ACTIVE
HOPI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Kykotsmovi,AZ,ACTIVE
HPULTRIBE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Upper Lake,CA,ACTIVE
HUALAPAI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Peach Springs,AZ,ACTIVE
IIPAYNATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,santa ysabel,CA,ACTIVE
ISLETAPUEBLO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Isleta,NM,ACTIVE
JACKSONRANCHERIA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Jackson,CA,ACTIVE
KAIBABPAIUTE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Fredonia,AZ,ACTIVE
KAWAIKA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Laguna,NM,ACTIVE
KAYENTATOWNSHIP-NSN.GOV,Native Sovereign Nation,Indian Affairs,Kayenta,AZ,ACTIVE
KBIC-NSN.GOV,Native Sovereign Nation,Indian Affairs,Baraga,MI,ACTIVE
KENAITZE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Kenai,AK,ACTIVE
KEWEENAWBAY-NSN.GOV,Native Sovereign Nation,Indian Affairs,Baraga,MI,ACTIVE
KTIK-NSN.GOV,Native Sovereign Nation,Indian Affairs,Horton,KS,ACTIVE
LAGUNA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Laguna,NM,ACTIVE
LAGUNAPUEBLO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Laguna,NM,ACTIVE
LAJOLLA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Pauma Valley,CA,ACTIVE
LCO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Hayward,WI,ACTIVE
LTBBODAWA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Harbor Springs,MI,ACTIVE
LUMMI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Bellingham,WA,ACTIVE
MASHANTUCKET-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,ACTIVE
MASHANTUCKETPEQUOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,ACTIVE
MASHANTUCKETWESTERNPEQUOT-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,ACTIVE
MCN-NSN.GOV,Native Sovereign Nation,Indian Affairs,Okmulgee,OK,ACTIVE
MECHOOPDA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Chico,CA,ACTIVE
MENOMINEE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Keshena,WI,ACTIVE
MESAGRANDEBAND-NSN.GOV,Native Sovereign Nation,Indian Affairs,SantaYsabel,CA,ACTIVE
MESKWAKI-NSN.GOV,Native Sovereign Nation,Indian Affairs,Tama,IA,ACTIVE
MICCOSUKEE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Miami,FL,ACTIVE
MICMAC-NSN.GOV,Native Sovereign Nation,Indian Affairs,Presque Isle,ME,ACTIVE
MIDDLETOWNRANCHERIA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Middletown,CA,ACTIVE
MILLELACSBAND-NSN.GOV,Native Sovereign Nation,Indian Affairs,Onamia,MN,ACTIVE
MOAPABANDOFPAIUTES-NSN.GOV,Native Sovereign Nation,Indian Affairs,Moapa,NV,SERVER-HOLD
MOHICAN-NSN.GOV,Native Sovereign Nation,Indian Affairs,Bowler,WI,ACTIVE
MORONGO-NSN.GOV,Native Sovereign Nation,Indian Affairs,Banning,CA,ACTIVE
MPGE-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,ACTIVE
MPTN-NSN.GOV,Native Sovereign Nation,Indian Affairs,Mashantucket,CT,ACTIVE
MUSCOGEENATION-NSN.GOV,Native Sovereign Nation,Indian Affairs,Okmulgee,OK,ACTIVE
NCIHA-NSN.GOV,Native Sovereign Nation,Indian Affairs,Ukiah,CA,ACTIVE
