Domain Name,Domain Type,Agency,City,State
ABERDEENWA.GOV,City,Non-Federal Agency,Aberdeen,WA
ABINGDON-VA.GOV,City,Non-Federal Agency,Abingdon,VA
ABINGTONMA.GOV,City,Non-Federal Agency,Abington,MA
ABSECONNJ.GOV,City,Non-Federal Agency,Absecon,NJ
ACCESSPRINCETONNJ.GOV,City,Non-Federal Agency,Princeton,NJ
ACTON-MA.GOV,City,Non-Federal Agency,Acton,MA
ACTONMA.GOV,City,Non-Federal Agency,Acton,MA
ADAK-AK.GOV,City,Non-Federal Agency,Adak,AK
ADAMN.GOV,City,Non-Federal Agency,Ada,MN
ADDISONTX.GOV,City,Non-Federal Agency,Addison,TX
ADRIANMI.GOV,City,Non-Federal Agency,Adrian,MI
AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY
AKRONOHIO.GOV,City,Non-Federal Agency,Akron,OH
ALAMEDACA.GOV,City,Non-Federal Agency,Alameda,CA
ALAMOHEIGHTSTX.GOV,City,Non-Federal Agency,Alamo Heights,TX
ALBANYNY.GOV,City,Non-Federal Agency,Albany,NY
ALEXANDERCITYAL.GOV,City,Non-Federal Agency,Alexander City,AL
ALEXANDRIAVA.GOV,City,Non-Federal Agency,Alexandria,VA
ALGONAWA.GOV,City,Non-Federal Agency,Algona,WA
ALGOODTN.GOV,City,Non-Federal Agency,Algood,TN
ALIQUIPPAPA.GOV,City,Non-Federal Agency,Aliquippa,PA
ALLENSTOWNNH.GOV,City,Non-Federal Agency,Allenstown,NH
ALLENTOWNPA.GOV,City,Non-Federal Agency,Allentown,PA
ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI
ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH
ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA
ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX
ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK
ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX
AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX
AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY
AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA
AMERYWI.GOV,City,Non-Federal Agency,Amery,WI
AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA
AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH
AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA
AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR
AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY
ANDOVER-NH.GOV,City,Non-Federal Agency,Andover,NH
ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA
ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN
ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM
ANGELSCAMP.GOV,City,Non-Federal Agency,City of Angels Camp,CA
ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA
ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX
ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX
ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL
APPLEVALLEYCA.GOV,City,Non-Federal Agency,Apple Valley,CA
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT
APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA
AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA
ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX
ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL
ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA
ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS
ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX
ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA
ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX
ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA
ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM
ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA
ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA
ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC
ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN
ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH
ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA
ATKINSON-NH.GOV,City,Non-Federal Agency,Atkinson,NH
ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA
ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL
ATRISCO-NM.GOV,City,Non-Federal Agency,Atrisco,NM
ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN
AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX
AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME
AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME
AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME
AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA
AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX
AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX
AVONCT.GOV,City,Non-Federal Agency,Avon,CT
AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ
AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM
BADENPA.GOV,City,Non-Federal Agency,Baden,PA
BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL
BALTIMORECITY.GOV,City,Non-Federal Agency,Baltimore,MD
BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME
BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL
BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX
BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI
BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI
BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN
BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,Bay St. Louis,MS
BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ
BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH
BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA
BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR
BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH
BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA
BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY
BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH
BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX
BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA
BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX
BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS
BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM
BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL
BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY
BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA
BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA
BELMONT-MA.GOV,City,Non-Federal Agency,Belmont,MA
BELOITWI.GOV,City,Non-Federal Agency,Beloit,WI
BELTONPARKSMO.GOV,City,Non-Federal Agency,Belton,MO
BELTONTEXAS.GOV,City,Non-Federal Agency,Belton,TX
BENDOREGON.GOV,City,Non-Federal Agency,Bend,OR
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem,PA
BENSONAZ.GOV,City,Non-Federal Agency,Benson,AZ
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Harbor,MI
BEREAKY.GOV,City,Non-Federal Agency,Berea,KY
BERLINMD.GOV,City,Non-Federal Agency,Berlin,MD
BERLINNH.GOV,City,Non-Federal Agency,Berlin,NH
BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM
BERWYN-IL.GOV,City,Non-Federal Agency,Berwyn,IL
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Bethany Beach,DE
BETHEL-CT.GOV,City,Non-Federal Agency,Bethel,CT
BETHEL-OH.GOV,City,Non-Federal Agency,Bethel,OH
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,Beverly Hills,CA
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,Beverly Hills,CA
BEVERLYMA.GOV,City,Non-Federal Agency,Beverly,MA
BIGGS-CA.GOV,City,Non-Federal Agency,Biggs,CA
BIGSANDYTX.GOV,City,Non-Federal Agency,Big Sandy,TX
BINGHAMTON-NY.GOV,City,Non-Federal Agency,Binghamton,NY
BIRMINGHAMAL.GOV,City,Non-Federal Agency,Birmingham,AL
BISBEEAZ.GOV,City,Non-Federal Agency,Bisbee,AZ
BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Biscayne Park,FL
BISMARCKND.GOV,City,Non-Federal Agency,Bismarck,ND
BIXBYOK.GOV,City,Non-Federal Agency,Bixby,OK
BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,Blairsville,GA
BLANDING-UT.GOV,City,Non-Federal Agency,Blanding,UT
BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Hudsonville,MI
BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,Bloomingdale,GA
BLOOMINGTON-MN.GOV,City,Non-Federal Agency,Bloomington,MN
BLUEASH-OH.GOV,City,Non-Federal Agency,Blue Ash,OH
BOCARATON-FL.GOV,City,Non-Federal Agency,Boca Raton,FL
BOERNE-TX.GOV,City,Non-Federal Agency,BOERNE,TX
BOISEIDAHO.GOV,City,Non-Federal Agency,Boise,ID
BOLTON-MA.GOV,City,Non-Federal Agency,Bolton,MA
BONNEYTEXAS.GOV,City,Non-Federal Agency,Bonney,TX
BORGERTX.GOV,City,Non-Federal Agency,Borger,TX
BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Bosque Farms,NM
BOSTON.GOV,City,Non-Federal Agency,Boston,MA
BOULDERCOLORADO.GOV,City,Non-Federal Agency,Boulder,CO
BOURBON-IN.GOV,City,Non-Federal Agency,Bremen,IN
BOWERSDE.GOV,City,Non-Federal Agency,"Frederica,",DE
BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,Bowling Green,MO
BOWLINGGREENKY.GOV,City,Non-Federal Agency,Bowling Green,KY
BOWMAR.GOV,City,Non-Federal Agency,Bow Mar,CO
BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA
BOYCEVA.GOV,City,Non-Federal Agency,Boyce,VA
BOYLSTON-MA.GOV,City,Non-Federal Agency,Boylston,MA
BOZEMAN-MT.GOV,City,Non-Federal Agency,Bozeman,MT
BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Bradley Beach,NJ
BRANFORD-CT.GOV,City,Non-Federal Agency,Branford,CT
BRANSONMO.GOV,City,Non-Federal Agency,Branson,MO
BRASWELLGA.GOV,City,Non-Federal Agency,Rockmart,GA
BRAWLEY-CA.GOV,City,Non-Federal Agency,Brawley,CA
BRECKENRIDGETX.GOV,City,Non-Federal Agency,Breckenridge,TX
BREMENGA.GOV,City,Non-Federal Agency,Bremen,GA
BREMERTONWA.GOV,City,Non-Federal Agency,Bremerton,WA
BRENTWOOD-TN.GOV,City,Non-Federal Agency,Brentwood,TN
BRENTWOODCA.GOV,City,Non-Federal Agency,Brentwood,CA
BRENTWOODMD.GOV,City,Non-Federal Agency,Brentwood,MD
BRENTWOODNH.GOV,City,Non-Federal Agency,Brentwood,NH
BREWSTER-MA.GOV,City,Non-Federal Agency,Brewster,MA
BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster,NY
BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ
BRIDGEPORTCT.GOV,City,Non-Federal Agency,Bridgeport,CT
BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Bridgeview,IL
BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Kent,OH
BRISTOLCT.GOV,City,Non-Federal Agency,Bristol,CT
BRLA.GOV,City,Non-Federal Agency,Baton Rouge,LA
BROADVIEW-IL.GOV,City,Non-Federal Agency,Broadview,IL
BROKENARROWOK.GOV,City,Non-Federal Agency,Broken Arrow,OK
BROOKFIELD-WI.GOV,City,Non-Federal Agency,Brookfield,WI
BROOKFIELDCT.GOV,City,Non-Federal Agency,Brookfield,CT
BROOKFIELDIL.GOV,City,Non-Federal Agency,Brookfield ,IL
BROOKHAVENGA.GOV,City,Non-Federal Agency,Dunwoody,GA
BROOKLINEMA.GOV,City,Non-Federal Agency,Brookline,MA
BROOKLYNOHIO.GOV,City,Non-Federal Agency,Brooklyn,OH
BROOKLYNWI.GOV,City,Non-Federal Agency,Brooklyn,WI
BROWNSVILLETN.GOV,City,Non-Federal Agency,Brownsville,TN
BROWNWOODTEXAS.GOV,City,Non-Federal Agency,Brownwood,TX
BRYCECANYONCITYUT.GOV,City,Non-Federal Agency,Bryce Canyon City,UT
BRYSONCITYNC.GOV,City,Non-Federal Agency,Bryson City,NC
BUCKEYEAZ.GOV,City,Non-Federal Agency,Buckeye,AZ
BUCKSPORTMAINE.GOV,City,Non-Federal Agency,Bucksport,ME
BUENAVISTACO.GOV,City,Non-Federal Agency,Buena Vista,CO
BULLHEADCITYAZ.GOV,City,Non-Federal Agency,Bullhead City,AZ
BUNKERHILLTX.GOV,City,Non-Federal Agency,HOUSTON,TX
BURBANKCA.GOV,City,Non-Federal Agency,Burbank,CA
BURBANKIL.GOV,City,Non-Federal Agency,Burbank,IL
BURIENWA.GOV,City,Non-Federal Agency,Burien,WA
BURKITTSVILLE-MD.GOV,City,Non-Federal Agency,Burkittsville,MD
BURLINGTON-WI.GOV,City,Non-Federal Agency,Burlington,WI
BURLINGTONKANSAS.GOV,City,Non-Federal Agency,Burlington,KS
BURLINGTONNC.GOV,City,Non-Federal Agency,Burlington,NC
BURLINGTONVT.GOV,City,Non-Federal Agency,Burlington,VT
BURNSHARBOR-IN.GOV,City,Non-Federal Agency,Burns Harbor,IN
BURNSVILLEMN.GOV,City,Non-Federal Agency,Burnsville,MN
BURR-RIDGE.GOV,City,Non-Federal Agency,Burr Ridge,IL
BURRILLVILLE-RI.GOV,City,Non-Federal Agency,Harrisville,RI
BURTONMI.GOV,City,Non-Federal Agency,Burton,MI
BUTLERWI.GOV,City,Non-Federal Agency,Butler,WI
BYESVILLEOH.GOV,City,Non-Federal Agency,Byesville,OH
CABOTAR.GOV,City,Non-Federal Agency,Cabot,AR
CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM
CALDWELLTX.GOV,City,Non-Federal Agency,Caldwell,TX
CALEDONIAMN.GOV,City,Non-Federal Agency,Caledonia,MN
CALUMETTWP-IN.GOV,City,Non-Federal Agency,Gary,IN
CAMBRIDGEMA.GOV,City,Non-Federal Agency,Cambridge,MA
CAMBRIDGENY.GOV,City,Non-Federal Agency,Cambridge,NY
CAMDENMAINE.GOV,City,Non-Federal Agency,Camden,ME
CAMDENTN.GOV,City,Non-Federal Agency,Camden,TN
CAMPBELLOHIO.GOV,City,Non-Federal Agency,Campbell,OH
CANALWINCHESTEROHIO.GOV,City,Non-Federal Agency,Canal Winchester,OH
CANNONFALLSMN.GOV,City,Non-Federal Agency,Cannon Falls,MN
CANTONOHIO.GOV,City,Non-Federal Agency,Canton,OH
CANTONTWP-OH.GOV,City,Non-Federal Agency,Canton,OH
CANTONTX.GOV,City,Non-Federal Agency,Canton,TX
CARBONDALE-PA.GOV,City,Non-Federal Agency,Carbondale,PA
CARLISLE-IA.GOV,City,Non-Federal Agency,Carlisle,IA
CARLISLEMA.GOV,City,Non-Federal Agency,Carlisle,MA
CARLSBADCA.GOV,City,Non-Federal Agency,Carlsbad,CA
CARNATIONWA.GOV,City,Non-Federal Agency,Carnation,WA
CARNEGIEOK.GOV,City,Non-Federal Agency,Carnegie,OK
CARNEYSPOINTNJ.GOV,City,Non-Federal Agency,Carneys Point,NJ
CARRBORONC.GOV,City,Non-Federal Agency,Carrboro,NC
CARROLLTON-GA.GOV,City,Non-Federal Agency,Carrollton,GA
CARTERLAKE-IA.GOV,City,Non-Federal Agency,Carter Lake,IA
CARTERSVILLEGA.GOV,City,Non-Federal Agency,Cartersville,GA
CARTHAGEMO.GOV,City,Non-Federal Agency,Carthage,MO
CARYNC.GOV,City,Non-Federal Agency,Cary,NC
CASAGRANDEAZ.GOV,City,Non-Federal Agency,Casa Grande,AZ
CASPERWY.GOV,City,Non-Federal Agency,Casper,WY
CASTROVILLETX.GOV,City,Non-Federal Agency,Castroville,TX
CATHEDRALCITY.GOV,City,Non-Federal Agency,Cathedral City,CA
CAVESPRINGSAR.GOV,City,Non-Federal Agency,Cave Springs,AR
CECILTONMD.GOV,City,Non-Federal Agency,Cecilton ,MD
CECILTOWNSHIP-PA.GOV,City,Non-Federal Agency,Cecil,PA
CEDARHURST.GOV,City,Non-Federal Agency,cedarhurst,NY
CEDARPARKTEXAS.GOV,City,Non-Federal Agency,Cedar Park,TX
CEDARRAPIDS-IA.GOV,City,Non-Federal Agency,Cedar Rapids,IA
CEDARTOWNGEORGIA.GOV,City,Non-Federal Agency,Cedartown,GA
CENTENNIALCO.GOV,City,Non-Federal Agency,Centennial,CO
CENTERCO.GOV,City,Non-Federal Agency,Center,CO
CENTERVILLEOHIO.GOV,City,Non-Federal Agency,Centerville,OH
CENTERVILLETX.GOV,City,Non-Federal Agency,College Station,TX
CENTRAL-LA.GOV,City,Non-Federal Agency,Central,LA
CENTRALPOINTOREGON.GOV,City,Non-Federal Agency,Central Point,OR
CENTREVILLE-MD.GOV,City,Non-Federal Agency,Centreville,MD
