Domain Name,Domain Type,Agency,City,State
PENNDOT.GOV,State/Local Govt,Pennsylvania Department of Transportation.,Harrisburg,PA
MTC.GOV,State/Local Govt,Multistate Tax Commission,Washington,DC
511MAINE.GOV,State/Local Govt,Non-Federal Agency,Augusta,ME
511NY.GOV,State/Local Govt,Non-Federal Agency,Albany,NY
511TX.GOV,State/Local Govt,Non-Federal Agency,Austin,TX
511WI.GOV,State/Local Govt,Non-Federal Agency,Madison,WI
ABLETN.GOV,State/Local Govt,Non-Federal Agency,Nashville,TN
ACCESSTN.GOV,State/Local Govt,Non-Federal Agency,NASHVILLE,TN
ADAMSCOUNTYMS.GOV,State/Local Govt,Non-Federal Agency,Natchez,MS
ADRCNJ.GOV,State/Local Govt,Non-Federal Agency,Mercerville,NJ
AGAZ.GOV,State/Local Govt,Non-Federal Agency,Phoenix,AZ
AK.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK
AKAEROSPACE.GOV,State/Local Govt,Non-Federal Agency,Anchorage,AK
AKLEG.GOV,State/Local Govt,Non-Federal Agency,Juneau,AK
AL-LEGISLATURE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
AL.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAAGELINE.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMACONNECT.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMADA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMADEMENTIA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAHOUSEPHOTOS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMASMP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABAMAVOTES.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALABPP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALACOP.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALACOURT.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALADA.GOV,State/Local Govt,Non-Federal Agency,Mongomery,AL
ALADNA.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
ALAPPEALS.GOV,State/Local Govt,Non-Federal Agency,Montgomery,AL
